,trial_number,ml,mr,pr,pl,rr,rl,revealed_o_l,revealed_x_l,revealed_o_r,revealed_x_r,mag_left,mag_right,info_amb,info_l,info_r,prob_out_l,prob_out_r,prob_out_l_bayes,prob_out_r_bayes,ambig_l,ambig_r,prob_out_ambig,prob_out_unambig,mag_ambig,mag_unambig,resp_amb_1,prob_out_ambig_bayes
170,170,16.0,46.0,0.3,0.64,0.4,1.0,18.0,32.0,15.0,5.0,16.0,46.0,0.4,1.0,0.4,0.64,0.25,0.64,0.2727272727272727,0.0,1.0,0.25,0.64,46.0,16.0,,0.2727272727272727
171,171,96.0,86.0,0.8,0.76,1.0,1.0,12.0,38.0,10.0,40.0,96.0,86.0,1.0,1.0,1.0,0.76,0.8,0.76,0.8,0.0,0.0,,,,,,
172,172,29.0,48.0,0.36,0.32,1.0,1.0,33.0,17.0,32.0,18.0,29.0,48.0,1.0,1.0,1.0,0.34,0.36,0.34,0.36,0.0,0.0,,,,,,
173,173,100.0,60.0,0.88,0.12,1.0,0.06,2.0,1.0,7.0,43.0,100.0,60.0,0.06,0.06,1.0,0.3333333333333333,0.86,0.4,0.86,1.0,0.0,0.3333333333333333,0.86,100.0,60.0,,0.4
174,174,38.0,27.0,0.56,0.8,1.0,1.0,10.0,40.0,23.0,27.0,38.0,27.0,1.0,1.0,1.0,0.8,0.54,0.8,0.54,0.0,0.0,,,,,,
175,175,-11.0,-16.0,0.4,0.28,1.0,1.0,37.0,13.0,29.0,21.0,-11.0,-16.0,1.0,1.0,1.0,0.26,0.42,0.26,0.42,0.0,0.0,,,,,,
176,176,-100.0,-84.0,0.28,0.36,0.06,1.0,32.0,18.0,2.0,1.0,-100.0,-84.0,0.06,1.0,0.06,0.36,0.3333333333333333,0.36,0.4,0.0,1.0,0.3333333333333333,0.36,-84.0,-100.0,,0.4
177,177,-106.0,-44.0,0.62,0.28,1.0,1.0,36.0,14.0,18.0,32.0,-106.0,-44.0,1.0,1.0,1.0,0.28,0.64,0.28,0.64,0.0,0.0,,,,,,
178,178,-4.0,-15.0,0.9,0.74,1.0,1.0,12.0,38.0,5.0,45.0,-4.0,-15.0,1.0,1.0,1.0,0.76,0.9,0.76,0.9,0.0,0.0,,,,,,
179,179,-4.0,-11.0,0.22,0.68,1.0,0.4,5.0,15.0,39.0,11.0,-4.0,-11.0,0.4,0.4,1.0,0.75,0.22,0.7272727272727273,0.22,1.0,0.0,0.75,0.22,-4.0,-11.0,,0.7272727272727273
180,180,-29.0,-25.0,0.92,0.86,1.0,1.0,6.0,44.0,4.0,46.0,-29.0,-25.0,1.0,1.0,1.0,0.88,0.92,0.88,0.92,0.0,0.0,,,,,,
181,181,-54.0,-132.0,0.48,0.88,1.0,1.0,6.0,44.0,26.0,24.0,-54.0,-132.0,1.0,1.0,1.0,0.88,0.48,0.88,0.48,0.0,0.0,,,,,,
182,182,-88.0,-80.0,0.68,0.76,0.02,1.0,12.0,38.0,1.0,0.0,-88.0,-80.0,0.02,1.0,0.02,0.76,0.0,0.76,0.3333333333333333,0.0,1.0,0.0,0.76,-80.0,-88.0,,0.3333333333333333
183,183,-125.0,-63.0,0.48,0.04,1.0,1.0,48.0,2.0,25.0,25.0,-125.0,-63.0,1.0,1.0,1.0,0.04,0.5,0.04,0.5,0.0,0.0,,,,,,
184,184,-72.0,-60.0,0.6,0.36,1.0,1.0,31.0,19.0,20.0,30.0,-72.0,-60.0,1.0,1.0,1.0,0.38,0.6,0.38,0.6,0.0,0.0,,,,,,
