,id,MID,trial_number,start_date,trialstart,outcome,reaction_time,totalpoints,prop_left,prop_right,resp,revealed_left,revealed_right,AID,HID,noresp,session_id,five_trial_outcome,mag_left,mag_right,received_mag,practice,loss_or_reward,revealed_o_l,revealed_o_r,revealed_x_l,revealed_x_r,instruct_number,info_l,info_r,prob_out_l,prob_out_r,prob_out_l_bayes,prob_out_r_bayes,ambig_l,ambig_r,prob_out_ambig,prob_out_unambig,mag_ambig,mag_unambig,resp_amb_1,prob_out_ambig_bayes,info_amb
39,77723,A27BPRHBM28XZS,39,3/10/17 8:49,1.48914e+12,X,1159,5276,0.56,0.48,left,1.0,0.02,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,68,29,68,False,combined,26,0,24,1,0,1.0,0.02,0.48,1.0,0.48,0.666666666667,0,1,1.0,0.48,29.0,68.0,,0.666666666667,0.02
40,77725,A27BPRHBM28XZS,40,3/10/17 8:49,1.48914e+12,X,1777,5276,0.64,0.44,right,0.1,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,74,107,107,False,combined,3,22,2,28,0,0.1,1.0,0.4,0.56,0.428571428571,0.56,1,0,0.4,0.56,74.0,107.0,,0.428571428571,0.1
41,77726,A27BPRHBM28XZS,41,3/10/17 8:49,1.48914e+12,X,1148,5276,0.08,0.32,left,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,33,7,33,False,combined,3,17,47,33,0,1.0,1.0,0.94,0.66,0.94,0.66,0,0,,,,,,,1.0
42,77728,A27BPRHBM28XZS,42,3/10/17 8:49,1.48914e+12,X,1576,5276,0.38,0.52,left,1.0,0.8,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,13,9,13,False,combined,18,22,32,18,0,1.0,0.8,0.64,0.45,0.64,0.452380952381,0,1,0.45,0.64,9.0,13.0,,0.452380952381,0.8
43,77729,A27BPRHBM28XZS,43,3/10/17 8:49,1.48914e+12,X,2894,5276,0.62,0.64,right,1.0,0.06,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,40,51,51,False,combined,31,2,19,1,0,1.0,0.06,0.38,0.333333333333,0.38,0.4,0,1,0.333333333333,0.38,51.0,40.0,,0.4,0.06
44,77731,A27BPRHBM28XZS,44,3/10/17 8:49,1.48914e+12,O,2230,5276,0.36,0.62,right,0.8,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,38,81,0,False,combined,15,32,25,18,0,0.8,1.0,0.625,0.36,0.619047619048,0.36,1,0,0.625,0.36,38.0,81.0,,0.619047619048,0.8
45,77733,A27BPRHBM28XZS,45,3/10/17 8:50,1.48914e+12,O,1797,5276,0.64,0.44,left,0.1,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-74,-107,0,False,combined,3,22,2,28,0,0.1,1.0,0.4,0.56,0.428571428571,0.56,1,0,0.4,0.56,-74.0,-107.0,,0.428571428571,0.1
46,77734,A27BPRHBM28XZS,46,3/10/17 8:50,1.48914e+12,X,1337,5276,0.08,0.32,right,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-33,-7,-7,False,combined,3,17,47,33,0,1.0,1.0,0.94,0.66,0.94,0.66,0,0,,,,,,,1.0
47,77736,A27BPRHBM28XZS,47,3/10/17 8:50,1.48914e+12,X,1437,5276,0.38,0.52,right,1.0,0.8,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-13,-9,-9,False,combined,18,22,32,18,0,1.0,0.8,0.64,0.45,0.64,0.452380952381,0,1,0.45,0.64,-9.0,-13.0,,0.452380952381,0.8
48,77737,A27BPRHBM28XZS,48,3/10/17 8:50,1.48914e+12,O,2294,5276,0.62,0.64,left,1.0,0.06,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-40,-51,0,False,combined,31,2,19,1,0,1.0,0.06,0.38,0.333333333333,0.38,0.4,0,1,0.333333333333,0.38,-51.0,-40.0,,0.4,0.06
49,77738,A27BPRHBM28XZS,49,3/10/17 8:50,1.48914e+12,X,3121,5276,0.36,0.62,left,0.8,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-38,-81,-38,False,combined,15,32,25,18,0,0.8,1.0,0.625,0.36,0.619047619048,0.36,1,0,0.625,0.36,-38.0,-81.0,,0.619047619048,0.8
50,77789,A27BPRHBM28XZS,50,3/10/17 9:02,1.48914e+12,X,2771,5276,0.52,0.38,left,0.8,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-9,-13,-9,False,combined,20,20,20,30,0,0.8,1.0,0.5,0.6,0.5,0.6,1,0,0.5,0.6,-9.0,-13.0,,0.5,0.8
51,77791,A27BPRHBM28XZS,51,3/10/17 9:02,1.48914e+12,O,1733,5276,0.12,0.84,right,0.2,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-34,-94,0,False,combined,3,41,7,9,0,0.2,1.0,0.7,0.18,0.666666666667,0.18,1,0,0.7,0.18,-34.0,-94.0,,0.666666666667,0.2
52,77792,A27BPRHBM28XZS,52,3/10/17 9:03,1.48914e+12,X,3022,5276,0.26,0.62,right,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-28,-40,-40,False,combined,13,31,37,19,0,1.0,1.0,0.74,0.38,0.74,0.38,0,0,,,,,,,1.0
53,77794,A27BPRHBM28XZS,53,3/10/17 9:03,1.48914e+12,X,3041,5276,0.72,0.32,left,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-62,-22,-62,False,combined,37,15,13,35,0,1.0,1.0,0.26,0.7,0.26,0.7,0,0,,,,,,,1.0
54,77795,A27BPRHBM28XZS,54,3/10/17 9:03,1.48914e+12,O,946,5276,0.8,0.62,right,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-118,-32,0,False,combined,39,31,11,19,0,1.0,1.0,0.22,0.38,0.22,0.38,0,0,,,,,,,1.0
55,77797,A27BPRHBM28XZS,55,3/10/17 9:03,1.48914e+12,X,1158,5276,0.48,0.08,right,1.0,0.4,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-115,-5,-5,False,combined,23,4,27,16,0,1.0,0.4,0.54,0.8,0.54,0.772727272727,0,1,0.8,0.54,-5.0,-115.0,,0.772727272727,0.4
56,77799,A27BPRHBM28XZS,56,3/10/17 9:03,1.48914e+12,O,4303,5276,0.24,0.44,right,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-77,-118,0,False,combined,12,23,38,27,0,1.0,1.0,0.76,0.54,0.76,0.54,0,0,,,,,,,1.0
57,77801,A27BPRHBM28XZS,57,3/10/17 9:03,1.48914e+12,X,3019,5276,0.14,0.08,right,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-29,-25,-25,False,combined,6,4,44,46,0,1.0,1.0,0.88,0.92,0.88,0.92,0,0,,,,,,,1.0
58,77802,A27BPRHBM28XZS,58,3/10/17 9:03,1.48914e+12,X,1829,5276,0.32,0.16,left,0.4,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-91,-84,-91,False,combined,7,8,13,42,0,0.4,1.0,0.65,0.84,0.636363636364,0.84,1,0,0.65,0.84,-91.0,-84.0,,0.636363636364,0.4
59,77803,A27BPRHBM28XZS,59,3/10/17 9:04,1.48914e+12,X,2994,5276,0.56,0.52,left,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,0,-144,-114,-144,False,combined,28,26,22,24,0,1.0,1.0,0.44,0.48,0.44,0.48,0,0,,,,,,,1.0
60,77805,A27BPRHBM28XZS,60,3/10/17 9:04,1.48914e+12,O,2872,5185,0.36,0.62,right,0.2,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,-91,38,81,0,False,combined,3,31,7,19,0,0.2,1.0,0.7,0.38,0.666666666667,0.38,1,0,0.7,0.38,38.0,81.0,,0.666666666667,0.2
61,77807,A27BPRHBM28XZS,61,3/10/17 9:04,1.48914e+12,O,1522,5185,0.32,0.78,left,0.4,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,-91,4,11,0,False,combined,5,39,15,11,0,0.4,1.0,0.75,0.22,0.727272727273,0.22,1,0,0.75,0.22,4.0,11.0,,0.727272727273,0.4
62,77808,A27BPRHBM28XZS,62,3/10/17 9:04,1.48914e+12,X,1756,5185,0.08,0.36,left,0.2,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,-91,70,97,70,False,combined,1,18,9,32,0,0.2,1.0,0.9,0.64,0.833333333333,0.64,1,0,0.9,0.64,70.0,97.0,,0.833333333333,0.2
63,77810,A27BPRHBM28XZS,63,3/10/17 9:04,1.48914e+12,O,1624,5185,0.9,0.44,right,1.0,0.1,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,-91,33,5,0,False,combined,46,1,4,4,0,1.0,0.1,0.08,0.8,0.08,0.714285714286,0,1,0.8,0.08,5.0,33.0,,0.714285714286,0.1
64,77811,A27BPRHBM28XZS,64,3/10/17 9:04,1.48914e+12,X,1178,5185,0.2,0.32,right,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,-91,19,48,48,False,combined,10,16,40,34,0,1.0,1.0,0.8,0.68,0.8,0.68,0,0,,,,,,,1.0
