trial_number,revealed_o_l,revealed_x_l,revealed_o_r,revealed_x_r,prop_left_o,prop_right_o,pl,pr,mag_ambig,mag_unambig,ml,mr,info_amb,rl,rr
21,25,25,30,20,0.52,0.6,0.48,0.4,,,63,13,1,1,1
23,18,32,2,48,0.34,0.06,0.66,0.94,,,15,5,1,1,1
27,36,14,40,10,0.74,0.8,0.26,0.2,,,62,134,1,1,1
29,13,37,6,44,0.24,0.12,0.76,0.88,,,39,34,1,1,1
31,19,31,30,20,0.36,0.6,0.64,0.4,,,-93,-127,1,1,1
34,48,2,25,25,0.96,0.52,0.04,0.48,,,-125,-63,1,1,1
38,6,44,21,29,0.12,0.4,0.88,0.6,,,17,50,1,1,1
41,3,47,17,33,0.08,0.32,0.92,0.68,,,33,7,1,1,1
46,3,47,17,33,0.08,0.32,0.92,0.68,,,-33,-7,1,1,1
52,13,37,31,19,0.26,0.62,0.74,0.38,,,-28,-40,1,1,1
53,37,13,15,35,0.72,0.32,0.28,0.68,,,-62,-22,1,1,1
54,39,11,31,19,0.8,0.62,0.2,0.38,,,-118,-32,1,1,1
56,12,38,23,27,0.24,0.44,0.76,0.56,,,-77,-118,1,1,1
57,6,44,4,46,0.14,0.08,0.86,0.92,,,-29,-25,1,1,1
59,28,22,26,24,0.56,0.52,0.44,0.48,,,-144,-114,1,1,1
64,10,40,16,34,0.2,0.32,0.8,0.68,,,19,48,1,1,1
67,34,16,27,23,0.68,0.56,0.32,0.44,,,39,42,1,1,1
68,12,38,25,25,0.24,0.48,0.76,0.52,,,42,61,1,1,1
69,10,40,33,17,0.18,0.68,0.82,0.32,,,37,115,1,1,1
70,2,48,20,30,0.04,0.4,0.96,0.6,,,-16,-8,1,1,1
73,3,47,33,17,0.04,0.68,0.96,0.32,,,-15,-53,1,1,1
74,17,33,15,35,0.34,0.3,0.66,0.7,,,-22,-23,1,1,1
75,36,14,18,32,0.72,0.38,0.28,0.62,,,106,44,1,1,1
76,24,26,26,24,0.5,0.5,0.5,0.5,,,11,19,1,1,1
78,13,37,30,20,0.26,0.6,0.74,0.4,,,16,38,1,1,1
82,36,14,40,10,0.74,0.8,0.26,0.2,,,-62,-134,1,1,1
84,13,37,6,44,0.24,0.12,0.76,0.88,,,-39,-34,1,1,1
85,31,19,20,30,0.64,0.4,0.36,0.6,,,72,60,1,1,1
86,6,44,4,46,0.12,0.06,0.88,0.94,,,30,29,1,1,1
87,8,42,33,17,0.16,0.68,0.84,0.32,,,18,47,1,1,1
89,37,13,4,46,0.76,0.06,0.24,0.94,,,116,42,1,1,1
91,42,8,30,20,0.84,0.6,0.16,0.4,,,31,75,1,1,1
92,8,42,7,43,0.16,0.12,0.84,0.88,,,74,60,1,1,1
94,24,26,36,14,0.48,0.72,0.52,0.28,,,25,55,1,1,1
95,14,36,46,4,0.28,0.94,0.72,0.06,,,-12,-134,1,1,1
103,26,24,37,13,0.52,0.76,0.48,0.24,,,-11,-14,1,1,1
104,48,2,4,46,0.96,0.08,0.04,0.92,,,-125,-5,1,1,1
107,27,23,13,37,0.56,0.28,0.44,0.72,,,11,42,1,1,1
108,17,33,16,34,0.36,0.32,0.64,0.68,,,23,7,1,1,1
109,13,37,11,39,0.28,0.2,0.72,0.8,,,47,24,1,1,1
110,10,40,39,11,0.18,0.8,0.82,0.2,,,-37,-100,1,1,1
111,12,38,9,41,0.24,0.2,0.76,0.8,,,-39,-75,1,1,1
112,28,22,24,26,0.56,0.48,0.44,0.52,,,-136,-29,1,1,1
116,3,47,25,25,0.04,0.52,0.96,0.48,,,31,31,1,1,1
117,14,36,22,28,0.3,0.44,0.7,0.56,,,5,12,1,1,1
119,9,41,27,23,0.16,0.58,0.84,0.42,,,7,14,1,1,1
122,21,29,21,29,0.42,0.42,0.58,0.58,,,-15,-17,1,1,1
123,38,12,28,22,0.78,0.58,0.22,0.42,,,-130,-68,1,1,1
125,16,34,2,48,0.32,0.04,0.68,0.96,,,7,5,1,1,1
131,12,38,10,40,0.24,0.2,0.76,0.8,,,-96,-86,1,1,1
132,33,17,32,18,0.68,0.64,0.32,0.36,,,-29,-48,1,1,1
134,10,40,23,27,0.2,0.44,0.8,0.56,,,-38,-27,1,1,1
135,8,42,4,46,0.16,0.08,0.84,0.92,,,6,5,1,1,1
136,7,43,41,9,0.12,0.84,0.88,0.16,,,34,94,1,1,1
138,37,13,25,25,0.74,0.52,0.26,0.48,,,8,9,1,1,1
141,12,38,23,27,0.24,0.44,0.76,0.56,,,77,118,1,1,1
142,6,44,4,46,0.14,0.08,0.86,0.92,,,29,25,1,1,1
144,28,22,26,24,0.56,0.52,0.44,0.48,,,144,114,1,1,1
149,10,40,16,34,0.2,0.32,0.8,0.68,,,-19,-48,1,1,1
150,16,34,2,48,0.32,0.04,0.68,0.96,,,-7,-5,1,1,1
155,25,25,21,29,0.52,0.4,0.48,0.6,,,138,106,1,1,1
158,12,38,22,28,0.24,0.44,0.76,0.56,,,30,48,1,1,1
161,33,17,36,14,0.66,0.74,0.34,0.26,,,-44,-61,1,1,1
162,12,38,5,45,0.26,0.1,0.74,0.9,,,-4,-15,1,1,1
164,2,48,12,38,0.04,0.22,0.96,0.78,,,-11,-2,1,1,1
165,10,40,39,11,0.18,0.8,0.82,0.2,,,37,100,1,1,1
166,12,38,9,41,0.24,0.2,0.76,0.8,,,39,75,1,1,1
167,28,22,24,26,0.56,0.48,0.44,0.52,,,136,29,1,1,1
171,12,38,10,40,0.24,0.2,0.76,0.8,,,96,86,1,1,1
172,33,17,32,18,0.68,0.64,0.32,0.36,,,29,48,1,1,1
174,10,40,23,27,0.2,0.44,0.8,0.56,,,38,27,1,1,1
175,25,25,20,30,0.52,0.4,0.48,0.6,,,-138,-106,1,1,1
178,12,38,22,28,0.24,0.44,0.76,0.56,,,-30,-48,1,1,1
181,42,8,30,20,0.84,0.6,0.16,0.4,,,-31,-75,1,1,1
182,8,42,7,43,0.16,0.12,0.84,0.88,,,-74,-60,1,1,1
