Eyetracker File is:	Ambi_B32_block4_1807310815.edfScanner Trigger at times:	39000
 br	 p_left	 p_right	 pr	 pr_left	 magnitude_left	 magnitude_right	 UrnsPresented_duration	 ChoiceTime_duration	 ChoiceDisplayed_duration	 OutcomeDisplayed_duration	 ITI_duration	 OutcomeHistoryDisplayed_duration	 ShockOutcomeDisplayed_duration	 ExtraITI_duration	 time_urns_presented	 time_button_press	 time_participant_choice_presented	 token_chosen_presented_time	 shock_time	 resultpicture_time	 time_ITI_begin	 time_Extra_ITI_begin	 trial number	 choice time	 participantsbet	 computerchoice_outcome	 did_right_win	 did_left_win	 numberofshocks	 outcome_chosen	 outcome	 numberbin1	 numberbin2	 numberbin3	 numberbin0	 outcome_intoarray	 result_given1in10	 breaktime	 length_break	 FIRST_ITI_start	 ITI_start	 UrnsPresented_start	 QuestionMark_start	 ButtonPress_start	 ChoiceDisplayed_start	 Outcome_start	 OutcomeHistoryDisplayed_start	 ShockOutcomeDisplay_start	 Shock_start	 ExtraITI_start	 Trial_starttime
90	0.52	0.38	1	0.08	9	13	5100	5000	5900	1500	3800	4000	2500	3200	2	5566	5584	11500	19548	17033	22798	19584	25	449	bet_right	Nothing yet	1	0	3	2	13	1	2	0	2	13	65	blah	3333333	Not_first_trial	456650	433854	438969	439418	439436	445352	446867	450885	453400	453436	433852
90	0.34	0.3	1	1	22	23	2700	5000	5600	1500	5300	0	0	0	2	5866	5884	11500	Not shocked this trial	No picture this trial	13015	blah_de_blah_de_blah	26	3149	bet_right	Nothing yet	1	1	3	4	23	1	0	0	0	23	Not fifth trial	blah	3333333	Not_first_trial	473481	460468	463183	466332	466350	471966	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	460466
40	0.36	0.62	1	0.2	38	81	2800	5000	4200	1500	5000	0	0	0	2	5866	5884	10100	Not shocked this trial	No picture this trial	11616	blah_de_blah_de_blah	27	3049	bet_left	Nothing yet	0	1	3	2	38	2	0	0	0	38	Not fifth trial	blah	3333333	Not_first_trial	490413	478799	481614	484663	484681	488897	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	478797
90	0.32	0.78	1	0.4	4	11	2800	5000	3700	1500	4200	0	0	0	1	3266	3284	7000	Not shocked this trial	No picture this trial	8516	blah_de_blah_de_blah	28	449	bet_right	Nothing yet	0	1	3	1	0	2	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	503945	495431	498246	498695	498713	502429	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	495429
40	0.08	0.36	1	0.2	70	97	4300	5000	4100	1500	3600	0	0	0	1	5932	5950	10066	Not shocked this trial	No picture this trial	11582	blah_de_blah_de_blah	29	1615	bet_left	Nothing yet	0	0	3	3	0	2	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	519743	508162	512478	514093	514111	518227	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	508161
40	0.9	0.44	0.1	1	33	5	4600	5000	3700	1500	6000	3500	2500	3400	2	5133	5150	8867	16415	13900	19831	16415	30	516	bet_left	Nothing yet	1	1	0	4	33	3	0	0	2	33	0	blah	3333333	Not_first_trial	543190	523361	527976	528492	528509	532226	533741	537259	539774	539774	523359
90	0.54	0.1	1	0.04	62	24	2500	5000	6000	1500	3200	0	0	0	2	3100	3118	9134	Not shocked this trial	No picture this trial	10649	blah_de_blah_de_blah	31	583	bet_right	Nothing yet	1	1	0	1	24	1	0	0	0	24	Not fifth trial	blah	3333333	Not_first_trial	559855	549208	551723	552306	552324	558340	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	549206
40	0.2	0.32	1	1	19	48	4500	5000	5500	1500	5900	0	0	0	1	4799	4817	10333	Not shocked this trial	No picture this trial	11848	blah_de_blah_de_blah	32	283	bet_left	Nothing yet	1	0	0	3	0	1	0	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	574920	563073	567588	567871	567889	573405	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	563072
90	0.12	0.7	0.4	1	16	46	3100	5000	5300	1500	4400	0	0	0	2	4200	4217	9534	Not shocked this trial	No picture this trial	11049	blah_de_blah_de_blah	33	1083	bet_right	Nothing yet	0	1	0	1	0	1	0	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	591885	580838	583953	585036	585053	590370	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	580836
40	0.6	0.16	1	1	136	69	5400	5000	4500	1500	4100	0	0	0	2	8033	8050	12567	Not shocked this trial	No picture this trial	14082	blah_de_blah_de_blah	34	2616	bet_left	Nothing yet	1	0	0	3	0	1	0	0	3	0	Not fifth trial	blah	3333333	Not_first_trial	610383	596303	601718	604334	604351	608868	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	596301
